Provenance;CODEZA;NOMZA;Dernière Mise à jour;Code Insee Commune Principale;Commune Principale;Propriétaire;Aménageur;Gestionnaire;Id_Intercommunalite;Intercommunalite;ANNEECREAT;Surface occupee Ha;Surface libre equipee Ha;Surface libre non equipee Ha;Surface des infrastructures Ha;Surface zone verte Ha;Surface Totale Ha;TxOccup;SurfaceDispo;SurfaceCommercialisable
OPENDATA41 - www.pilote41.fr;167;ZA de Chassenay;27/3/2015 00:00:00;41002;Angé;;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;1989;1,93;0,00;0,00;0,23;0,00;2,17;100,00;0,00;1,93
OPENDATA41 - www.pilote41.fr;168;Parc "Cher Sologne";7/4/2015 00:00:00;41242;Selles-sur-Cher;;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;2000;10,67;23,63;0,00;4,26;2,06;40,63;31,12;23,63;34,31
OPENDATA41 - www.pilote41.fr;169;Parc d'Activités du Bout des Hayes;26/3/2015 00:00:00;41018;Blois;3 Vals Aménagement;3 Vals Aménagement;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;2000;9,87;0,00;0,00;1,01;0,92;11,82;100,00;0,00;9,87
OPENDATA41 - www.pilote41.fr;170;Parc d'Activités Les Guignières;20/3/2015 00:00:00;41018;Blois;3 Vals Aménagement;3 Vals Aménagement;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;2000;11,06;7,05;0,00;1,95;6,95;27,03;61,06;7,05;18,12
OPENDATA41 - www.pilote41.fr;171;Parc d'Activités Les Sorbiers;25/3/2015 00:00:00;41295;Vineuil;3 Vals Aménagement;3 Vals Aménagement;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;1998;15,76;0,00;0,00;0,08;0,00;15,84;100,00;0,00;15,76
OPENDATA41 - www.pilote41.fr;172;ZA Les Poizas;27/3/2015 00:00:00;41043;Châtillon-sur-Cher;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;2000;4,15;0,00;2,28;0,08;0,00;6,52;64,57;2,28;6,44
OPENDATA41 - www.pilote41.fr;173;Zone d'Activités de Sargé-sur-Braye;17/7/2015 00:00:00;41235;Sargé-sur-Braye;CC des Collines du Perche;CC des Collines du Perche;CC des Collines du Perche;244100293;Communauté de communes des Collines du Perche;2000;2,88;2,33;0,00;0,33;1,81;7,36;55,20;2,33;5,22
OPENDATA41 - www.pilote41.fr;174;Parc d'Activités de la Patte d'Oie;20/3/2015 00:00:00;41212;Saint-Gervais-la-Forêt;Privé;Privé;Privé;200030385;Agglopolys - Communauté de l'agglomération de Blois;1999;2,46;0,00;0,00;0,54;0,72;3,73;100,00;0,00;2,46
OPENDATA41 - www.pilote41.fr;177;Zone d'Activités des Tournesols;20/3/2015 00:00:00;41173;Ouzouer-le-Marché;CC de la Beauce oratorienne;CC de la Beauce oratorienne;CC de la Beauce oratorienne;244100707;Communauté de communes de la Beauce Oratorienne;2000;2,58;2,70;4,37;1,07;0,53;11,27;26,78;7,07;9,66
OPENDATA41 - www.pilote41.fr;178;Zone de la Grange II;26/3/2015 00:00:00;41194;Romorantin-Lanthenay;3 Vals Aménagement;3 Vals Aménagement;CC Romorantinais et  Monestois;200018406;Communauté de communes du Romorantinais et du Monestois;1999;15,13;0,00;12,95;2,07;0,00;30,16;53,88;12,95;28,08
OPENDATA41 - www.pilote41.fr;179;Parc d'Activités Euro Val de Loire-Parc A10 Sud;20/3/2015 00:00:00;41047;Chaussée-Saint-Victor;C.C.I.;C.C.I.;C.C.I.;200030385;Agglopolys - Communauté de l'agglomération de Blois;2002;23,65;4,47;0,00;4,11;2,66;34,91;84,08;4,47;28,13
OPENDATA41 - www.pilote41.fr;184;Zone Artisanale;20/3/2015 00:00:00;41080;Faverolles-sur-Cher;;CC du Cher à La Loire;CC du Cher à La Loire;244100764;Communauté de communes du Cher à la Loire;1990;1,30;0,00;0,00;0,07;0,00;1,38;100,00;0,00;1,30
OPENDATA41 - www.pilote41.fr;185;Zone Le Parc de la Varenne;23/7/2015 00:00:00;41154;Morée;CC Perche et Haut-Vendômois;CC Perche et Haut-Vendômois;CC Perche et Haut-Vendômois;200040772;Communauté de communes du Perche et Haut-Vendômois;2001;3,44;0,84;4,83;0,90;0,00;10,02;37,81;5,67;9,12
OPENDATA41 - www.pilote41.fr;186;Zone Artisanale;2/4/2015 00:00:00;41184;Prunay-Cassereau;;La commune;La commune;244100772;Communauté de communes de Beauce et Gâtine;1980;3,84;0,00;0,00;0,00;0,00;3,84;100,00;0,00;3,84
OPENDATA41 - www.pilote41.fr;187;Parc d'Activités du Bout des Hayes Ouest;25/3/2015 00:00:00;41018;Blois;3 Vals Aménagement;3 Vals Aménagement;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;2003;4,82;0,00;14,70;0,94;4,62;25,09;24,70;14,70;19,52
OPENDATA41 - www.pilote41.fr;188;Parc d'Activités Euro Val de Loire-Parc A10 Est;20/3/2015 00:00:00;41047;Chaussée-Saint-Victor;C.C.I.;C.C.I.;C.C.I.;200030385;Agglopolys - Communauté de l'agglomération de Blois;2002;0,00;0,00;4,54;0,94;2,85;8,34;0,00;4,54;4,54
OPENDATA41 - www.pilote41.fr;191;Parc d'Activités La Folie;20/3/2015 00:00:00;41230;Saint-Sulpice-de-Pommeray;Privé;;Privé;200030385;Agglopolys - Communauté de l'agglomération de Blois;1995;0,57;0,00;0,00;0,00;0,00;0,57;100,00;0,00;0,57
OPENDATA41 - www.pilote41.fr;193;Parc d'Activités Les Couratières;31/3/2015 00:00:00;41276;Villebarou;;Sopic Nord (aménageur privé);Privé;200030385;Agglopolys - Communauté de l'agglomération de Blois;1970;22,80;0,00;0,00;1,08;0,00;23,88;100,00;0,00;22,80
OPENDATA41 - www.pilote41.fr;195;ZA de Thenay;30/3/2015 00:00:00;41257;Thenay;;Zone privée;Privé;200040863;Communauté de communes Val-de-Cher - Controis;1990;31,49;0,00;0,00;0,00;0,00;31,49;100,00;0,00;31,49
OPENDATA41 - www.pilote41.fr;196;Zone Industrielle de Bois Blanche;1/7/2015 00:00:00;41149;Montoire-sur-le-Loir;La commune et CC Vallées Loir et Braye;La commune et CC Vallées Loir et Braye;La commune et CC Vallées Loir et Braye;200040780;Communauté de communes Vallées Loir et Braye;1970;23,00;1,96;0,00;1,94;0,22;27,14;92,13;1,96;24,96
OPENDATA41 - www.pilote41.fr;198;Zone de la Gaucherie;20/3/2015 00:00:00;41086;Fontaines-en-Sologne;CC Grand Chambord;CC Grand Chambord;CC Grand Chambord;244100798;Communauté de communes du Grand Chambord;2003;0,33;5,71;0,00;0,53;0,86;7,44;5,50;5,71;6,04
OPENDATA41 - www.pilote41.fr;200;Parc d'Activités Les Sablons;2/4/2015 00:00:00;41295;Vineuil;;;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;1975;28,68;0,00;0,00;2,03;3,28;34,01;100,00;0,00;28,68
OPENDATA41 - www.pilote41.fr;201;Parc d'Activités Les Mûriers;20/3/2015 00:00:00;41101;Herbault;;Agglopolys;Agglopolys;200040863;Communauté de communes Val-de-Cher - Controis;2006;0,35;3,57;17,55;1,42;0,51;23,42;1,67;21,12;21,48
OPENDATA41 - www.pilote41.fr;202;ZA de la Tarotte;3/4/2015 00:00:00;41158;Naveil;CC du Vendômois Rural;CC du Vendômois Rural;CC du Vendômois Rural;244100269;Communauté de communes du Vendômois Rural;2004;2,18;0,00;0,00;0,07;0,00;2,25;100,00;0,00;2,18
OPENDATA41 - www.pilote41.fr;203;Parc d'Activités de la Valstière;20/3/2015 00:00:00;41101;Herbault;;La commune;La commune;200030385;Agglopolys - Communauté de l'agglomération de Blois;2005;2,11;0,00;3,18;0,41;0,00;5,72;39,92;3,18;5,30
OPENDATA41 - www.pilote41.fr;204;Zone des Devants;21/7/2015 00:00:00;41279;Villedieu-le-Château;CC Vallées Loir et Braye;CC Vallées Loir et Braye;CC Vallées Loir et Braye;200040780;Communauté de communes Vallées Loir et Braye;2008;1,86;2,36;0,69;0,20;0,55;5,68;37,87;3,05;4,92
OPENDATA41 - www.pilote41.fr;205;Zone de la Cousinière;20/5/2015 00:00:00;41078;Épuisay;CC Vallées Loir et Braye;CC Vallées Loir et Braye;CC Vallées Loir et Braye;200040780;Communauté de communes Vallées Loir et Braye;2008;6,83;4,77;8,66;1,07;0,58;21,94;33,73;13,43;20,27
OPENDATA41 - www.pilote41.fr;206;Zone des Maudhuites;20/3/2015 00:00:00;41152;Montrieux-en-Sologne;La commune;La commune;La commune;244100780;Communauté de communes de la Sologne des Etangs;;0,33;0,33;0,00;0,00;0,00;0,67;50,64;0,33;0,67
OPENDATA41 - www.pilote41.fr;208;Zone Ex GIAT GROUPE A et B;29/6/2015 00:00:00;41232;Salbris;3 Vals Aménagement;3 Vals Aménagement;3 Vals Aménagement;;;2008;0,00;88,12;28,49;9,74;0,00;126,36;0,00;116,61;116,61
OPENDATA41 - www.pilote41.fr;210;ZA de La Godelle;17/6/2015 00:00:00;41257;Thenay;CC Cher à la Loire;CC Cher à la Loire;CC Cher à la Loire;200040863;Communauté de communes Val-de-Cher - Controis;2003;0,00;0,00;5,45;0,00;0,00;5,45;0,00;5,45;5,45
OPENDATA41 - www.pilote41.fr;211;Parc d'Activités des Châteaux;20/3/2015 00:00:00;41047;Chaussée-Saint-Victor;3 Vals Aménagement;3 Vals Aménagement;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;;0,00;0,00;38,49;0,00;0,00;38,49;0,00;38,49;38,49
OPENDATA41 - www.pilote41.fr;212;Parc d'Activités de l'Ardoise;25/3/2015 00:00:00;41067;Cour-Cheverny;3 Vals Aménagement;3 Vals Aménagement;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;2008;3,98;4,52;6,29;1,66;3,78;20,25;26,90;10,82;14,80
OPENDATA41 - www.pilote41.fr;213;Zone "Le Noyers Goujon";20/3/2015 00:00:00;41148;Montlivault;CC Grand Chambord;CC Grand Chambord;CC Grand Chambord;244100798;Communauté de communes du Grand Chambord;2008;0,43;1,96;0,00;0,49;0,09;2,98;18,03;1,96;2,40
OPENDATA41 - www.pilote41.fr;214;Zone d'Activités des Châteaux;20/3/2015 00:00:00;41025;Bracieux;CC Grand Chambord;CC Grand Chambord;CC Grand Chambord;244100798;Communauté de communes du Grand Chambord;2008;0,65;7,42;0,00;1,64;0,00;9,72;8,09;7,42;8,08
OPENDATA41 - www.pilote41.fr;215;Zone de la Cave;20/3/2015 00:00:00;41150;Mont-près-Chambord;CC Grand Chambord;CC Grand Chambord;CC Grand Chambord;244100798;Communauté de communes du Grand Chambord;2007;0,00;0,00;5,73;0,12;0,00;5,85;0,00;5,73;5,73
OPENDATA41 - www.pilote41.fr;216;Zone des Morines 2;20/3/2015 00:00:00;41150;Mont-près-Chambord;CC Grand Chambord;CC Grand Chambord;CC Grand Chambord;244100798;Communauté de communes du Grand Chambord;2008;2,20;0,24;0,00;0,32;0,00;2,78;90,13;0,24;2,45
OPENDATA41 - www.pilote41.fr;217;Parc d'Activités Les Plantes;26/3/2015 00:00:00;41233;Sambin;Agglopolys;Agglopolys;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;2005;0,63;0,39;2,78;0,05;0,06;3,93;16,70;3,17;3,81
OPENDATA41 - www.pilote41.fr;259;ZA Les Prés Blanchards - La Pierre à 3 poux;16/6/2015 00:00:00;41092;Fougères-sur-Bièvre;;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;;10,74;7,82;0,00;0,18;0,00;18,76;57,85;7,82;18,57
OPENDATA41 - www.pilote41.fr;260;ZA de la Bernardière;16/6/2015 00:00:00;41059;Contres;Privé;Zone privée;Privé;200040863;Communauté de communes Val-de-Cher - Controis;;2,60;0,00;4,36;0,16;0,00;7,12;37,36;4,36;6,96
OPENDATA41 - www.pilote41.fr;261;ZA Avenue des Platanes;19/6/2015 00:00:00;41059;Contres;;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;;0,92;0,00;1,05;0,00;0,00;1,98;46,62;1,05;1,98
OPENDATA41 - www.pilote41.fr;262;ZA "Plaine de Fresnes";27/3/2015 00:00:00;41059;Contres;;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;;3,09;0,00;0,00;0,00;0,00;3,09;100,00;0,00;3,09
OPENDATA41 - www.pilote41.fr;263;ZA Rue de la Plaine;30/3/2015 00:00:00;41094;Fresnes;;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;;0,00;0,00;1,55;0,00;0,00;1,55;0,00;1,55;1,55
OPENDATA41 - www.pilote41.fr;264;ZA les Bois d'Ouchamps;30/3/2015 00:00:00;41170;Ouchamps;;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;;2,70;0,00;0,00;0,00;0,00;2,70;100,00;0,00;2,70
OPENDATA41 - www.pilote41.fr;268;Parc d'Activités Euro Val de Loire - Les Gailletrous III;20/3/2015 00:00:00;41047;Chaussée-Saint-Victor;Agglopolys;Agglopolys;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;2010;1,22;0,00;0,00;0,00;0,00;1,22;100,00;0,00;1,22
OPENDATA41 - www.pilote41.fr;269;Zone de Saint-Léonard-en-Beauce;11/6/2015 00:00:00;41221;Saint-Léonard-en-Beauce;;;Commune;244100699;Communauté de communes de Beauce et Forêt;;0,27;0,00;0,00;0,00;0,00;0,27;100,00;0,00;0,27
OPENDATA41 - www.pilote41.fr;277;ZA Les Avenettes;30/3/2015 00:00:00;41164;Noyers-sur-Cher;;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;;0,00;7,19;0,00;0,00;0,00;7,19;0,00;7,19;7,19
OPENDATA41 - www.pilote41.fr;285;Zone "Les Galliennes";17/6/2015 00:00:00;41149;Montoire-sur-le-Loir;CC Vallées Loir et Braye;CC Vallées Loir et Braye;CC Vallées Loir et Braye;200040780;Communauté de communes Vallées Loir et Braye;2011;0,48;2,76;0,00;0,87;0,00;4,13;14,95;2,76;3,25
OPENDATA41 - www.pilote41.fr;287;ZA d'Authon;2/4/2015 00:00:00;41007;Authon;CC Beauce et Gâtine;CC Beauce et Gâtine;CC Beauce et Gâtine;;Communauté de communes de Beauce et GâtineSyndicat mixte du Pays Vendômois;2010;0,00;0,00;2,29;0,43;0,00;2,73;0,00;2,29;2,29
OPENDATA41 - www.pilote41.fr;289;ZA des Genets;20/5/2015 00:00:00;41238;Savigny-sur-Braye;Privés;Commune;CC Vallées Loir et Braye;;Communauté de communes Vallées Loir et BrayeSyndicat mixte du Pays Vendômois;;5,37;0,00;0,00;0,34;0,00;5,72;100,00;0,00;5,37
OPENDATA41 - www.pilote41.fr;290;Zone D'activité des Chardonnets;20/5/2015 00:00:00;41250;Sougé;CC Vallées Loir et Braye;CC Vallées Loir et Braye;CC Vallées Loir et Braye;;Communauté de communes Vallées Loir et BrayeSyndicat mixte du Pays Vendômois;;0,71;0,36;0,04;0,19;0,00;1,33;63,45;0,41;1,13
OPENDATA41 - www.pilote41.fr;292;ZAE de Chémery;27/3/2015 00:00:00;41049;Chémery;C.C.I.;C.C.I.;C.C.I.;;Communauté de communes Val-de-Cher - ControisSyndicat mixte du Pays de la Vallée du Cher et du Romorantinais;;0,00;0,00;12,64;0,00;0,00;12,64;0,00;12,64;12,64
OPENDATA41 - www.pilote41.fr;293;Parc d'activités du Breuil;25/3/2015 00:00:00;41040;Chapelle-Vendômoise;Conseil Général;Conseil Général;Conseil Général;200030385;Agglopolys - Communauté de l'agglomération de Blois;2007;6,78;1,50;6,70;0,00;2,95;17,95;45,26;8,21;14,99
OPENDATA41 - www.pilote41.fr;294;ZA Vau de Chaume;7/4/2015 00:00:00;41198;Saint-Aignan;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;2011;0,67;4,33;0,00;0,78;1,70;7,50;13,51;4,33;5,01
OPENDATA41 - www.pilote41.fr;295;Zone d'Activités des Chantaupiaux;20/3/2015 00:00:00;45134;Épieds-en-Beauce;;CC Beauce Oratorienne;CC Beauce Oratorienne;244100707;Communauté de communes de la Beauce Oratorienne;2004;8,95;8,98;0,00;3,48;0,00;21,42;49,93;8,98;17,94
OPENDATA41 - www.pilote41.fr;304;Zone artisanale (en projet);12/6/2015 00:00:00;41105;Josnes;commune / privé;CC Beauce et Forêt;CC Beauce et Forêt;244100699;Communauté de communes de Beauce et Forêt;;1,74;0,00;2,63;0,00;0,00;4,37;39,79;2,63;4,37
OPENDATA41 - www.pilote41.fr;305;ZA de La Vallée Laurent;21/5/2015 00:00:00;41226;Saint-Ouen;;CC du Pays de Vendôme;CC du Pays de Vendôme;244100251;Communauté de communes du Pays de Vendôme;;0,99;0,00;12,90;1,09;0,00;14,99;7,19;12,90;13,90
OPENDATA41 - www.pilote41.fr;306;Zone Intermarché;20/3/2015 00:00:00;41173;Ouzouer-le-Marché;L’immobilière européenne des Mousquestaires;;Privé;244100707;Communauté de communes de la Beauce Oratorienne;;1,67;0,00;0,00;0,27;0,78;2,73;100,00;0,00;1,67
OPENDATA41 - www.pilote41.fr;307;Zone Pissier;20/3/2015 00:00:00;41173;Ouzouer-le-Marché;SCI du Muids;;Privé;244100707;Communauté de communes de la Beauce Oratorienne;;1,87;0,00;3,49;0,00;0,00;5,36;34,86;3,49;5,36
OPENDATA41 - www.pilote41.fr;308;Zone Ghestem;20/3/2015 00:00:00;41173;Ouzouer-le-Marché;SCI Christel;;Privé;244100707;Communauté de communes de la Beauce Oratorienne;;2,89;0,00;0,00;0,00;0,00;2,89;100,00;0,00;2,89
OPENDATA41 - www.pilote41.fr;309;Zone Commerciale La Mouée;27/5/2015 00:00:00;41136;Mer;;CC Beauce Ligérienne;CC Beauce Ligérienne;244100681;Communauté de communes de la Beauce Ligérienne;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
OPENDATA41 - www.pilote41.fr;310;Zone Commerciale;27/5/2015 00:00:00;41136;Mer;;Privé;Privé;244100681;Communauté de communes de la Beauce Ligérienne;;4,33;0,00;5,89;0,00;1,66;11,89;42,39;5,89;10,23
OPENDATA41 - www.pilote41.fr;317;ZA Route de Pontlevoy;18/6/2015 00:00:00;41257;Thenay;;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;2015;4,53;1,18;3,48;0,00;0,00;9,19;49,26;4,66;9,19
