NB_PRESTATATION,ANNEE,COMMUNE,latitude,longitude,code postal,code insee
42,2010,Abzac,45.016197,-0.128651,33230,33001
14,2010,Aillas,44.473508,-0.074703,33124,33002
377,2010,Ambarès et Lagrave,44.924412,-0.487574,33440,33003
41,2010,Ambès,45.010421,-0.532320,33810,33004
137,2010,Andernos les Bains,44.742448,-1.090931,33510,33005
29,2010,Anglade,45.210719,-0.638091,33390,33006
,2010,Arbanats,44.674917,-0.396346,33640,33007
,2010,Arbis,44.678522,-0.246276,33760,33008
239,2010,Arcachon,44.658380,-1.169450,33120,33009
,2010,Arcins,45.072615,-0.725782,33460,33010
13,2010,Arsac,44.996324,-0.688946,33460,33012
97,2010,Artigues près Bordeaux,44.858314,-0.497405,33370,33013
38,2010,Arveyres,44.883773,-0.283502,33500,33015
62,2010,Arès,44.764183,-1.136804,33740,33011
7,2010,Asques,43.988575,0.949217,82120,82004
,2010,Aubiac,44.468721,-0.241774,33430,33017
19,2010,Aubie et Espessas,45.018835,-0.407051,33240,33018
88,2010,Audenge ,44.683088,-1.013330,33980,33019
,2010,Auriolles,44.740868,0.049736,33790,33020
7,2010,Auros,44.494910,-0.146354,33124,33021
23,2010,Avensan,45.034546,-0.758842,33480,33022
,2010,Ayguemorte les Graves,44.709206,-0.481819,33640,33023
,2010,Bagas,44.624468,-0.056446,33190,33024
,2010,Baigneaux,47.781573,1.253225,41290,41011
6,2010,Balizac,44.486869,-0.445459,33730,33026
,2010,Barie,44.569670,-0.115233,33190,33027
8,2010,Baron,45.020001,5.043529,26300,26057
52,2010,Barsac,44.730365,5.290080,26150,26027
,2010,Bassanne,44.558648,-0.090683,33190,33031
149,2010,Bassens,44.902727,-0.517928,33530,33032
6,2010,Baurech,44.724938,-0.439815,33880,33033
6,2010,Bayas,45.059913,-0.207382,33230,33034
14,2010,Bayon sur Gironde,45.053281,-0.601147,33710,33035
112,2010,Bazas,44.431753,-0.211993,33430,33036
31,2010,Beautiran,44.702920,-0.452368,33640,33037
13,2010,Begadan,45.356233,-0.894382,33340,33038
17,2010,Beguey,44.641982,-0.323681,33410,33040
51,2010,Belin Beliet,44.497153,-0.791073,33830,33042
,2010,Bellebat,44.738849,-0.216888,33760,33043
,2010,Bellefond,44.765384,-0.171609,33760,33044
,2010,Belvès de Castillon,44.878306,-0.032255,33350,33045
16,2010,Bernos Beaulac,44.379910,-0.259299,33430,33046
22,2010,Berson,45.107822,-0.586843,33390,33047
,2010,Berthez,44.484403,-0.135701,33124,33048
13,2010,Beychac et Caillau,44.869424,-0.371368,33750,33049
20,2010,Bieujac,44.538806,-0.155099,33210,33050
95,2010,Biganos ,44.643766,-0.978962,33380,33051
,2010,Birac,44.412514,0.130831,47250,47034
,2010,Blaignac,44.551463,-0.057532,33190,33054
,2010,Blaignan,45.321601,-0.879179,33340,33055
285,2010,Blanquefort,44.909686,-0.637585,33290,33056
14,2010,Blasimon,44.748299,-0.074554,33540,33057
233,2010,Blaye,45.126971,-0.663195,33390,33058
,2010,Blesignac,44.774587,-0.258149,33670,33059
12,2010,Bommes,44.546360,-0.357109,33210,33060
18,2010,Bonnetan,44.820397,-0.412741,33370,33061
6,2010,Bonzac,45.006285,-0.223363,33910,33062
9931,2010,Bordeaux,44.837663,-0.579717,33100,33063
,2010,Bossugan,44.791419,-0.046546,33350,33064
14,2010,Bouliac,44.814001,-0.502242,33270,33065
7,2010,Bourdelles,44.553017,-0.000919,33190,33066
72,2010,Bourg sur Gironde,45.534675,-0.907816,17120,17437
,2010,Bourideys,44.367647,-0.454531,33113,33068
8,2010,Brach,45.040951,-0.938552,33480,33070
34,2010,Branne,44.829829,-0.186645,33420,33071
,2010,Brannens,44.519953,-0.152786,33124,33072
34,2010,Braud et St Louis,45.247153,-0.626433,33820,33073
,2010,Brouqueyran,44.483252,-0.175908,33124,33074
156,2010,Bruges,44.882549,-0.613007,33520,33075
,2010,Budos,44.532846,-0.386538,33720,33076
616,2010,Bègles,44.807078,-0.549917,33130,33039
13,2010,Cabanac et Villagrains,44.605990,-0.553653,33650,33077
,2010,Cabara,44.826090,-0.159844,33420,33078
,2010,Cadarsac,44.860235,-0.287193,33750,33079
47,2010,Cadaujac,44.755436,-0.530214,33140,33080
69,2010,Cadillac,44.635800,-0.319531,33410,33081
12,2010,Cadillac en Fronsadais,44.966651,-0.374680,33240,33082
,2010,Camarsac,44.831760,-0.365308,33750,33083
13,2010,Cambes,45.042615,-0.572019,33710,33067
18,2010,Camblanes et Meynac,44.764891,-0.487798,33360,33085
,2010,Camiac et St Denis,44.794792,-0.275772,33420,33086
10,2010,Camiran,44.628582,-0.070547,33190,33087
6,2010,Camps sur l Isle,45.015267,-0.032052,33660,33088
10,2010,Campugnan,45.177039,-0.564529,33390,33089
12,2010,Cantenac,45.028117,-0.654182,33460,33091
,2010,Cantois,44.692458,-0.231921,33760,33092
50,2010,Canéjan,44.762175,-0.655871,33610,33090
8,2010,Capian,44.710229,-0.331503,33550,33093
,2010,Caplong,44.851266,2.297978,15220,15196
25,2010,Captieux,44.291585,-0.260492,33840,33095
87,2010,Carbon Blanc,44.894052,-0.507241,33560,33096
35,2010,Carcans,45.078631,-1.044276,33121,33097
,2010,Cardan,44.678937,-0.323337,33410,33098
20,2010,Carignan de Bordeaux,44.814837,-0.475706,33360,33099
13,2010,Cars,45.128341,-0.621266,33390,33100
31,2010,Cartelègue,45.184645,-0.580310,33390,33101
9,2010,Casseuil,44.544552,-0.231524,33210,33227
,2010,Castelmoron d Albret,44.678824,-0.012675,33540,33103
58,2010,Castelnau du Médoc,45.026829,-0.800271,33480,33104
,2010,Castelviel,44.666792,-0.153431,33540,33105
22,2010,Castets en Dorthe,44.561366,-0.153840,33210,33106
,2010,Castillon de Castets,44.548945,-0.115349,33210,33107
214,2010,Castillon la Bataille,44.852734,-0.044807,33350,33108
30,2010,Castres Gironde,44.695921,-0.445622,33640,33109
33,2010,Caudrot,44.576046,-0.144577,33490,33111
,2010,Caumont,44.275814,1.091011,82110,82094
,2010,Cauvignac,44.417493,-0.080457,33690,33113
60,2010,Cavignac,45.100453,-0.390394,33620,33114
,2010,Cazalis,15.922961,-61.290771,97112,97112
,2010,Cazats,44.471512,-0.207961,33430,33116
,2010,Cazaugitat,44.713558,0.005682,33790,33117
1004,2010,Cenon,44.856252,-0.534021,33150,33119
,2010,Cessac,45.888248,0.001751,16140,16005
93,2010,Cestas,44.744167,-0.682523,33610,33122
16,2010,Chamadelle,45.103225,-0.077538,33230,33124
24,2010,Cissac Médoc,45.226776,-0.831759,33250,33125
13,2010,Civrac de Blaye,45.111450,-0.443245,33920,33126
,2010,Civrac de Dordogne,44.829195,-0.081515,33350,33127
14,2010,Civrac en Médoc,45.338068,-0.898224,33340,33128
,2010,Cleyrac,44.719552,-0.038865,33540,33129
10,2010,Coimères,44.495761,-0.210597,33210,33130
,2010,Coirac,44.690684,-0.168664,33540,33131
,2010,Comps,45.067877,-0.595728,33710,33132
,2010,Coubeyrac,44.784355,0.058839,33890,33133
,2010,Couqueques,44.548162,-0.232865,33210,33227
,2010,Courpiac,44.754263,-0.182363,33760,33135
,2010,Cours de Monségur,44.650764,0.117556,33580,33136
,2010,Cours les Bains,44.380448,-0.019404,33690,33137
293,2010,Coutras,45.040488,-0.130009,33230,33138
,2010,Coutures,45.331436,0.392714,24320,24141
,2010,Croignon,44.818841,-0.345542,33750,33141
58,2010,Créon,44.773675,-0.349179,33670,33140
20,2010,Cubnezais,45.073785,-0.407856,33620,33142
43,2010,Cubzac les Ponts,44.969595,-0.454839,33240,33143
13,2010,Cudos,44.388287,-0.219577,33430,33144
,2010,Cursan,44.802840,-0.338261,33670,33145
41,2010,Cussac Fort Médoc,45.113902,-0.731082,33460,33146
10,2010,Cénac,44.779254,-0.460853,33360,33118
15,2010,Cérons,44.543872,2.242514,12110,12013
26,2010,Cézac,45.090526,-0.420327,33620,33123
9,2010,Daignac,44.799171,-0.249450,33420,33147
,2010,Daubeze,44.712165,-0.142075,33540,33149
,2010,Dieulivol,44.673091,0.110101,33580,33150
9,2010,Donnezac,45.247519,-0.443995,33860,33151
,2010,Doulezon,44.791623,-0.006069,33350,33153
8,2010,Escaudes,44.308606,-0.202504,33840,33155
7,2010,Escoussans,44.683325,-0.266761,33760,33156
6,2010,Espiet,44.798800,-0.262084,33420,33157
50,2010,Etauliers,45.223609,-0.573883,33820,33159
14,2010,Eynesse,44.824683,0.154204,33220,33160
29,2010,Eyrans,45.187953,-0.617487,33390,33161
451,2010,Eysines,44.883963,-0.652398,33320,33162
,2010,Faleyras,44.770976,-0.227581,33760,33163
25,2010,Fargues St Hilaire,44.822979,-0.445820,33370,33165
51,2010,Fargues de Langon,44.930663,2.447349,15000,15014
12,2010,Flaujagues,44.827002,0.036349,33350,33168
572,2010,Floirac,44.835766,-0.526399,33270,33167
6,2010,Floudes,44.571908,-0.067462,33190,33169
29,2010,Fontet,44.558489,-0.031451,33190,33170
,2010,Fosses et Baleyssac,44.593788,0.041040,33190,33171
,2010,Fours,46.816503,3.718749,58250,58118
,2010,Francs,44.944775,-0.006670,33570,33173
22,2010,Fronsac,44.922829,-0.273106,33126,33174
15,2010,Frontenac,44.737714,-0.162464,33760,33175
,2010,Gabarnac,44.614777,-0.269095,33410,33176
49,2010,Gaillan en Médoc,45.324363,-0.954774,33340,33177
14,2010,Gajac,44.435901,-0.130497,33430,33178
43,2010,Galgon,44.990410,-0.273246,33133,33179
6,2010,Gans,44.455261,-0.146663,33430,33180
7,2010,Gardegan et Tourtirac,44.900209,-0.022030,33350,33181
16,2010,Gauriac,45.063539,-0.618341,33710,33182
12,2010,Gauriaguet,45.039090,-0.393032,33240,33183
,2010,Generac,43.727686,4.347637,30510,30128
17,2010,Genissac,44.858394,-0.257946,33420,33185
12,2010,Gensac,43.983637,0.432906,32100,32107
38,2010,Gironde sur Dropt,44.583006,-0.089496,33190,33187
8,2010,Giscos,44.272493,-0.174134,33840,33188
8,2010,Gornac,44.662363,-0.182220,33540,33189
6,2010,Gours,43.697211,3.221349,34650,34144
334,2010,Gradignan,44.770654,-0.617201,33170,33192
28,2010,Grayan et L Hopital,45.442979,-1.091303,33590,33193
7,2010,Grezillac,44.817221,-0.217578,33420,33194
22,2010,Grignols,44.387852,-0.044924,33690,33195
,2010,Guillac,44.800203,-0.214073,33420,33196
9,2010,Guillos,44.547222,-0.503327,33720,33197
77,2010,Guitres,45.040668,-0.187214,33230,33198
291,2010,Gujan Mestras,44.635116,-1.067986,33470,33199
,2010,Haux,44.734576,-0.360758,33550,33201
29,2010,Hostens,44.492343,-0.639665,33125,33202
68,2010,Hourtin,45.185407,-1.058391,33990,33203
7,2010,Hure,44.544021,-0.000441,33190,33204
16,2010,Illats,44.597244,-0.372750,33720,33205
,2010,Isle St Georges,44.724774,-0.473934,33640,33206
54,2010,Izon,44.920143,-0.363002,33450,33207
17,2010,Jau Dignac et Loirac,45.407190,-0.958109,33590,33208
,2010,Jugazan,44.781182,-0.154789,33420,33209
,2010,Juillac,45.317695,1.321562,19350,19094
25,2010,La Brède,44.680666,-0.529315,33650,33213
24,2010,La Lande de Fronsac,44.979052,-0.381776,33240,33219
,2010,La Rivière,49.246449,1.448842,27700,27016
6,2010,La Roquille,44.790581,0.230573,33220,33360
243,2010,La Réole,44.582604,-0.039050,33190,33352
12,2010,La Sauve,44.768479,-0.312186,33670,33505
412,2010,La Teste de Buch,44.632214,-1.146050,33115,33529
12,2010,Labarde,44.632826,0.470393,47410,47142
,2010,Labescau,44.443368,-0.089412,33690,33212
101,2010,Lacanau,43.405989,5.234153,13700,13054
,2010,Ladaux,44.700185,-0.244999,33760,33215
6,2010,Lados,44.466918,-0.148570,33124,33216
43,2010,Lagorce,46.123328,1.25968,87290,87041
15,2010,Lalande de Pomerol,44.955300,-0.210278,33500,33222
16,2010,Lamarque,43.435879,0.59057,32140,32242
28,2010,Lamothe Landerron,44.557374,0.060589,33190,33221
,2010,Landerrouat,44.741908,0.158392,33790,33223
,2010,Landerrouet sur Ségur,44.653325,-0.022670,33540,33224
20,2010,Landiras,44.567070,-0.416323,33720,33225
46,2010,Langoiran,44.707181,-0.402084,33550,33226
366,2010,Langon,44.552259,-0.250353,33210,33227
15,2010,Lansac,43.763376,4.6695,13150,13108
78,2010,Lanton ,44.702988,-1.036237,33138,33229
7,2010,Lapouyade,45.085506,-0.287718,33620,33230
,2010,Laroque,43.695422,2.435094,81330,81305
,2010,Lartigue,44.517838,0.780703,47150,47175
81,2010,Laruscade,45.107347,-0.341180,33620,33233
35,2010,Latresne,44.784440,-0.496604,33360,33234
,2010,Lavazan,44.393260,-0.109291,33690,33235
17,2010,Le Barp,44.606091,-0.768121,33114,33029
344,2010,Le Bouscat,44.864072,-0.599144,33110,33069
9,2010,Le Fieu,45.118576,4.29433,43190,43244
95,2010,Le Haillan,44.871436,-0.676933,33185,33200
6,2010,Le Nizan,44.476899,-0.269927,33430,33305
68,2010,Le Pian Médoc,44.954556,-0.670963,33290,33322
9,2010,Le Pian sur Garonne,44.585783,-0.213201,33490,33323
24,2010,Le Porge,44.025105,4.746521,30150,30221
,2010,Le Pout,44.399107,0.114413,47250,47034
,2010,Le Puy,45.510299,0.707268,24300,24311
129,2010,Le Taillan Médoc,44.904107,-0.670197,33320,33519
72,2010,Le Teich,44.633088,-1.024917,33470,33527
,2010,Le Temple,45.236447,1.327173,19310,19015
15,2010,Le Tourne,44.709918,-0.400986,33550,33534
,2010,Le Tuzan,44.449312,-0.577768,33125,33536
42,2010,Le Verdon sur Mer,45.545943,-1.061689,33123,33544
9,2010,Leogeats,44.511800,-0.367647,33210,33237
18,2010,Lerm et Musset,44.327035,-0.157110,33840,33239
21,2010,Les Artigues de Lussac,44.970821,-0.140080,33570,33014
14,2010,Les Billaux,44.951792,-0.237995,33500,33052
151,2010,Les Eglisottes et Chalaures,45.098907,-0.037861,33230,33154
,2010,Les Esseintes,44.609725,-0.068259,33190,33158
13,2010,Les Lèves et Thoumeyragues,44.792777,0.174798,33220,33242
65,2010,Les Peintures,45.068402,-0.098510,33230,33315
15,2010,Les Salles de castillon,44.911555,-0.002354,33350,33499
257,2010,Lesparre Médoc,45.306916,-0.938203,33340,33240
20,2010,Lestiac sur Garonne,44.692701,-0.374680,33550,33241
939,2010,Libourne,44.914650,-0.244728,33500,33243
,2010,Lignan de Bazas,44.430655,-0.279827,33430,33244
11,2010,Lignan de Bordeaux,44.795566,-0.428951,33360,33245
,2010,Ligueux,44.785223,0.268786,33220,33246
33,2010,Listrac Médoc,45.073085,-0.791965,33480,33248
,2010,Listrac de Dureze,44.761459,0.044862,33790,33247
1046,2010,Lormont,44.878241,-0.522730,33310,33249
,2010,Loubens,44.629487,-0.037793,33190,33250
19,2010,Louchats,44.511811,-0.567876,33125,33251
,2010,Loupes,44.804750,-0.394069,33370,33252
15,2010,Loupiac,45.117616,2.341096,15700,15153
14,2010,Loupiac de la Réole,44.545583,-0.042096,33190,33254
,2010,Lucmau,44.341501,-0.308559,33840,33255
30,2010,Ludon Médoc,44.981978,-0.604182,33290,33256
,2010,Lugaignac,44.814281,-0.194624,33420,33257
,2010,Lugasson,44.750380,-0.160647,33760,33258
8,2010,Lugon et l Ile du Carney,44.948174,-0.359652,33240,33259
,2010,Lugos,44.482140,-0.885743,33830,33260
23,2010,Lussac,44.949503,-0.097012,33570,33261
98,2010,Lège Cap Ferret,44.792671,-1.146498,33950,33236
95,2010,Léognan,44.727896,-0.601809,33850,33238
49,2010,Macau,45.007774,-0.614737,33460,33262
,2010,Madirac,44.762986,-0.404196,33670,33263
15,2010,Maransin,45.070736,-0.269045,33230,33264
7,2010,Marcenais,45.057870,-0.338224,33620,33266
39,2010,Marcheprime ,44.691391,-0.855964,33380,33555
34,2010,Marcillac,45.121491,1.531421,19100,19031
34,2010,Margaux,45.040856,-0.677898,33460,33268
,2010,Margueron,44.761298,0.248453,33220,33269
,2010,Marimbault,44.410230,-0.269844,33430,33270
,2010,Marions,44.382961,-0.091139,33690,33271
19,2010,Marsas,43.051639,0.225368,65200,65300
37,2010,Martignas sur Jalles,44.840159,-0.776232,33127,33273
17,2010,Martillac,44.712641,-0.543959,33650,33274
,2010,Martres,44.709611,-0.168466,33760,33275
,2010,Masseilles,44.406464,-0.055979,33690,33276
,2010,Massugas,44.767928,0.084992,33790,33277
,2010,Mauriac,45.218433,2.332409,15200,15120
7,2010,Mazion,45.161910,-0.614525,33390,33280
7,2010,Mazères,44.258938,0.364375,47130,47210
,2010,Mesterrieux,44.645401,-0.015935,33540,33283
80,2010,Mios,44.604704,-0.937090,33380,33284
,2010,Mombrier,45.078216,-0.554412,33710,33285
24,2010,Mongauzy,44.566563,0.033646,33190,33287
,2010,Monprimblanc,44.629355,-0.263632,33410,33288
30,2010,Monségur,44.649771,0.079747,33580,33289
25,2010,Montagne,43.440679,5.682257,13530,13110
,2010,Montagoudin,44.577374,0.000306,33190,33291
,2010,Montignac,45.065694,1.161369,24290,24291
23,2010,Montussan,44.881173,-0.429113,33450,33293
10,2010,Morizès,44.611792,-0.091074,33190,33294
,2010,Mouillac,45.007859,-0.353027,33240,33295
9,2010,Mouliets et Villemartin,44.841730,-0.018882,33350,33296
12,2010,Moulis en Médoc,45.058486,-0.770626,33480,33297
18,2010,Moulon,44.846834,-0.221809,33420,33298
,2010,Mourens,44.648932,-0.210491,33410,33299
1171,2010,Mérignac,44.841817,-0.645856,33700,33281
,2010,Mérignas,44.783967,-0.087892,33350,33282
18,2010,Naujac sur Mer,45.254233,-1.025108,33990,33300
,2010,Naujan et Postiac,44.788520,-0.181772,33420,33301
,2010,Neuffons,44.642589,0.013239,33580,33304
,2010,Noaillac,44.515791,-0.011532,33190,33306
28,2010,Noaillan,44.479383,-0.366973,33730,33307
,2010,Néac,44.939944,-0.180218,33500,33302
22,2010,Nérigean,44.841232,-0.289880,33750,33303
,2010,Omet,44.651358,-0.281316,33410,33308
8,2010,Ordonnac,45.306863,-0.835993,33340,33309
,2010,Origne,44.492282,-0.502438,33113,33310
18,2010,Paillet,44.684875,-0.365369,33550,33311
90,2010,Parempuyre,44.948576,-0.605841,33290,33312
176,2010,Pauillac,45.199818,-0.749578,33250,33314
24,2010,Pellegrue,44.742437,0.074936,33790,33316
1165,2010,Pessac,44.805275,-0.633356,33600,33318
17,2010,Pessac sur Dordogne,44.820011,0.078491,33890,33319
15,2010,Petit Palais et Cornemps,44.981040,-0.064477,33570,33320
19,2010,Peujard,45.046058,-0.430321,33240,33321
107,2010,Pineuilh,44.830139,0.227356,33220,33324
18,2010,Plassac,45.103144,-0.647633,33390,33325
,2010,Pleine Selve,49.790859,3.525973,2240,2605
35,2010,Podensac,44.650925,-0.355767,33720,33327
18,2010,Pomerol,44.931229,-0.201288,33500,33328
16,2010,Pompignac,44.850277,-0.437361,33370,33330
,2010,Pompéjac,44.402361,-0.292010,33730,33329
,2010,Pondaurat,44.536194,-0.088194,33190,33331
14,2010,Porchères,45.028996,0.009135,33660,33332
33,2010,Portets,44.696547,-0.425446,33640,33334
83,2010,Preignac,44.584234,-0.296323,33210,33337
6,2010,Prignac en Médoc,45.326697,-0.914042,33340,33338
16,2010,Prignac et Marcamps,45.032351,-0.494302,33710,33339
21,2010,Préchac,42.992219,-0.073373,65400,65371
31,2010,Pugnac,45.080925,-0.497338,33710,33341
12,2010,Puisseguin,44.923110,-0.073994,33570,33342
17,2010,Pujols,44.806229,-0.032162,33350,33344
6,2010,Pujols sur Ciron,44.561765,-0.354245,33210,33343
10,2010,Puybarban,44.551873,-0.075193,33190,33346
10,2010,Puynormand,44.981869,-0.001044,33660,33347
7,2010,Périssac,45.018630,-0.324449,33240,33317
37,2010,Queyrac ,45.361365,-0.979147,33340,33348
12,2010,Quinsac,45.482966,1.272894,87500,87187
23,2010,Rauzan,44.778407,-0.125537,33420,33350
37,2010,Reignac,45.232904,-0.508147,33860,33351
,2010,Rimons,44.671207,0.005409,33580,33353
,2010,Riocaud,44.763886,0.207862,33220,33354
24,2010,Rions,44.662733,-0.352683,33410,33355
14,2010,Roaillan,44.498149,-0.282487,33210,33357
10,2010,Romagne,48.341869,-1.277486,35133,35243
10,2010,Roquebrune,44.680012,1.257997,46340,46297
,2010,Ruch,44.775364,-0.040617,33350,33361
47,2010,Sablons,45.025155,-0.193954,33910,33362
41,2010,Sadirac,44.438704,-0.007779,33690,33195
,2010,Saillans,44.696235,5.196514,26340,26289
7,2010,Salaunes,44.935636,-0.830890,33160,33494
11,2010,Salignac,45.015111,-0.381414,33240,33495
16,2010,Salleboeuf,44.841590,-0.397563,33370,33496
55,2010,Salles,44.778843,0.861653,24480,24068
10,2010,Samonac,45.073191,-0.570629,33710,33500
16,2010,Saucats,44.651452,-0.596921,33650,33501
10,2010,Saugon,45.178073,-0.503426,33920,33502
,2010,Saumos,44.918330,-0.989570,33680,33503
8,2010,Sauternes,44.531452,-0.343626,33210,33504
35,2010,Sauveterre de Guyenne,44.692101,-0.086642,33540,33506
,2010,Sauviac,43.854801,3.905773,34270,34078
,2010,Savignac,43.961221,2.834735,12400,12208
11,2010,Savignac de l Isle,44.989687,-0.236377,33910,33509
,2010,Semens,44.612932,-0.239976,33490,33510
,2010,Sendets,43.296370,-0.260918,64320,64518
10,2010,Sigalens,44.449089,-0.045707,33690,33512
,2010,Sillas,44.373873,-0.061755,33690,33513
50,2010,Soulac sur Mer,45.510244,-1.125761,33780,33514
,2010,Soulignac,44.697232,-0.283991,33760,33515
,2010,Soussac,44.728327,0.018798,33790,33516
30,2010,Soussans,45.055431,-0.700475,33460,33517
,2010,St Aignan,44.431797,0.820284,47140,47280
17,2010,St Androny,45.189574,-0.650734,33390,33370
197,2010,St André de Cubzac,44.994197,-0.446196,33240,33366
6,2010,St André du Bois,44.604648,-0.184007,33490,33367
10,2010,St André et Appelles,44.818483,0.193757,33220,33369
7,2010,St Antoine,43.870419,5.399861,84400,84003
,2010,St Antoine du Queyret,44.762310,0.009409,33790,33372
15,2010,St Antoine sur l Isle,45.026144,0.037239,33660,33373
20,2010,St Aubin de Blaye,45.267274,-0.561367,33820,33374
,2010,St Aubin de Branne,44.807701,-0.172732,33420,33375
37,2010,St Aubin de Médoc,44.911245,-0.726476,33160,33376
64,2010,St Avit St Nazaire,44.849789,0.256780,33220,33378
,2010,St Avit de Soulège,44.813103,0.124415,33220,33377
,2010,St Brice,48.558536,-0.642538,61700,61370
13,2010,St Caprais de Blaye,45.285223,-0.563791,33820,33380
22,2010,St Caprais de Bordeaux,44.750280,-0.436307,33880,33381
7,2010,St Christoly Médoc,45.355867,-0.826586,33340,33383
100,2010,St Christoly de Blaye,45.130158,-0.508060,33920,33382
12,2010,St Christophe de Double,45.079620,0.015329,33230,33385
10,2010,St Christophe des Bardes,44.895608,-0.123193,33330,33384
,2010,St Cibard,44.938861,-0.025382,33570,33386
66,2010,St Ciers d Abzac,45.030817,-0.278151,33910,33387
23,2010,St Ciers de Canesse,45.082757,-0.609407,33710,33388
102,2010,St Ciers sur Gironde,45.290007,-0.611345,33820,33389
,2010,St Come,43.185206,5.737688,83740,83027
